id,direction,entry_price,exit_price,entry_bar,exit_bar,size,leverage,pnl,pnl_pct,commission,funding,net_pnl,exit_reason,duration_bars,confidence
1,LONG,68157.2,67778.04042097223,37,42,400.0,20.0,-2.2252063114550733,-12.326031557275368,0.48,0.04,-2.5052063114550736,SL,5,85.0
2,LONG,69800.3,69195.38469675054,61,62,398.901917475418,20.0,-3.457032052533235,-18.53274221599234,0.4786823009705015,0.0,-3.696373203018486,SL,1,85.0
3,LONG,70998.7,71426.8774371543,97,112,397.32763173401645,20.0,2.88299954363566,13.791950910907852,0.4767931580808197,0.039732763173401645,2.700228833038012,SL,15,85.0
4,SHORT,70900.1,71457.24605110369,125,131,398.3123646356154,20.0,-3.130011961372473,-16.916368555296415,0.4779748375627384,-0.03983123646356154,-3.3291681436902807,SL,6,85.0
5,LONG,71244.2,70671.59701189613,155,160,396.8851024106268,20.0,-3.189839952925789,-17.274374843253774,0.47626212289275216,0.0,-3.427971014372165,SL,5,85.0
6,SHORT,69460.1,69810.42133067199,185,209,395.4186615802994,20.0,-1.994290127675393,-11.286980314511046,0.47450239389635923,-0.11862559847408982,-2.112915726149483,SL,24,80.0
7,LONG,69602.3,69321.33683565968,218,221,394.47859481106036,20.0,-1.5923892495311354,-9.273387354737595,0.4733743137732724,0.0,-1.8290764064177716,SL,3,85.0
8,SHORT,66462.9,67219.33836993159,255,258,393.65228938573864,20.0,-4.480299476892953,-23.962725368035247,0.4723827472628863,-0.03936522893857387,-4.677125621585822,SL,3,100.0
9,SHORT,67307.7,68165.34269299048,291,299,391.68696258765175,20.0,-4.9909217133097235,-26.68423710780445,0.47002435510518203,-0.03916869625876518,-5.186765194603549,SL,8,85.0
10,SHORT,66183.3,66834.52290519381,336,380,389.5182516387893,20.0,-3.8327373742050317,-20.87937244573192,0.46742190196654715,-0.19475912581939467,-3.87168919936891,SL,44,100.0
11,LONG,66711.1,66404.29363114087,380,383,387.8760915786483,20.0,-1.7838538897502605,-10.398060558411885,0.46545130989437794,0.0,-2.0165795446974495,SL,3,100.0
12,SHORT,65320.2,64927.18606895491,417,420,386.9763694987904,20.0,2.902671509764088,14.281802376323968,0.4643716433985484,0.0,2.7633600167445236,SL,3,85.0
