id,direction,entry_price,exit_price,entry_bar,exit_bar,size,leverage,pnl,pnl_pct,commission,funding,net_pnl,exit_reason,duration_bars,confidence
1,SHORT,3800.16,3766.320547548192,39,43,400.0,20.0,3.242818313927657,15.494091569638286,0.48,-0.04,3.1388183139276573,SL,4,100.0
2,SHORT,3796.6,3743.8229505462887,63,73,401.15952732557105,20.0,4.898255049999834,23.700484701710863,0.4813914327906852,-0.06418552437209138,4.81802314453472,SL,10,85.0
3,LONG,3811.99,3778.903302622549,95,101,402.99045829682683,20.0,-3.4978117307934635,-18.55927816046262,0.48358854995619216,0.04029904582968268,-3.7799050516012422,SL,6,85.0
4,LONG,3851.63,3822.396852674732,128,136,401.38177856619507,20.0,-3.046412211584099,-16.379623860686497,0.48165813427943405,0.0,-3.287241278723816,SL,8,85.0
5,LONG,3809.01,3777.8850823637995,155,160,399.97055042784973,20.0,-3.2683165544256108,-17.542785992266094,0.4799646605134196,0.0,-3.5082988846823207,SL,5,85.0
6,SHORT,3688.45,3715.754144328077,185,212,398.4712379418741,20.0,-2.9497258174443255,-16.005213207757837,0.4781654855302489,-0.11954137138256224,-3.0692671888268874,SL,27,85.0
7,SHORT,3647.98,3669.594506057866,222,223,397.1478979692373,20.0,-2.3531257426095658,-13.050123113540119,0.4765774775630847,0.0,-2.591414481391108,SL,1,85.0
8,SHORT,3445.98,3499.285904799396,254,258,396.0160166811682,20.0,-6.125976379503773,-32.138023319575915,0.4752192200174018,-0.03960160166811682,-6.323984387844358,SL,4,85.0
9,LONG,3570.87,3518.385256022718,285,289,393.39137908202696,20.0,-5.78207714478267,-30.59605417015016,0.47206965489843233,0.0393391379082027,-6.057451110140089,SL,4,100.0
10,SHORT,3467.84,3513.192510907609,310,316,390.8739847069913,20.0,-5.111861174369182,-27.356057319604727,0.4690487816483895,-0.03908739847069913,-5.307298166722678,SL,6,85.0
11,LONG,3538.48,3570.7426726194426,340,350,388.6572556839725,20.0,4.000081796698152,19.86410971722974,0.46638870682076694,0.03886572556839725,3.8212994590835243,SL,10,85.0
12,LONG,3567.85,3596.631244897825,364,373,390.0924977262418,20.0,3.019786951768979,14.762414911184463,0.4681109972714901,0.03900924977262418,2.8403444028149076,SL,9,85.0
13,SHORT,3521.47,3470.8602983403507,403,407,391.1350132879135,20.0,5.4968079368692,27.386959234677434,0.4693620159454962,0.0,5.355999332085552,SL,4,85.0
14,LONG,3471.15,3518.315783318068,427,432,393.1835406175586,20.0,5.6298105401007,27.917061110229426,0.4718202487410703,0.0,5.4882644654783785,SL,5,85.0
15,LONG,3558.29,3593.546655953761,453,462,395.28448235400174,20.0,4.072795689204206,19.886909054207518,0.47434137882480204,0.03952844823540017,3.890964827321365,SL,9,85.0
16,SHORT,3510.26,3485.2901396011803,477,486,396.74600000916536,20.0,3.2898731689841862,15.864278953830341,0.47609520001099837,-0.039674600000916535,3.1867192089818035,SL,9,85.0
17,SHORT,3482.02,3514.5662396578086,510,528,397.9254686527559,20.0,-3.7193863529555884,-19.89388438768798,0.477510562383307,-0.07958509373055118,-3.8785565404166906,SL,18,85.0
18,SHORT,3431.86,3396.8568335119453,546,552,396.27854392411257,20.0,3.565696327418548,17.27590910024833,0.475534252708935,0.0,3.4230360516058673,SL,6,85.0
19,LONG,3373.35,3398.7213549366843,578,589,397.552651494213,20.0,4.02250486902226,19.516337772637463,0.47706318179305557,0.03975526514942131,3.839630649334922,SL,11,85.0
20,SHORT,3386.44,3361.936189774262,602,613,398.99309111758845,20.0,3.307288041085954,15.858171976974173,0.4787917093411061,-0.039899309111758846,3.203549837395381,SL,11,85.0
21,SHORT,3371.58,3401.347914341691,627,630,400.1787527106784,20.0,-3.533206043474076,-18.858139116788724,0.480214503252814,0.0,-3.773313295100483,SL,3,85.0
22,SHORT,3411.14,3387.629873889765,659,662,398.57338449198767,20.0,3.1995916406421676,15.33521976697111,0.47828806139038516,0.0,3.056105222225052,SL,3,85.0
23,SHORT,3376.78,3359.414896887807,692,696,399.7001689685996,20.0,2.0288800578025357,9.432010008091462,0.47964020276231956,0.0,1.88498799697384,SL,4,85.0
24,LONG,3516.26,3484.50848463766,717,720,400.35823612683663,20.0,-3.615199298351298,-19.25982228978536,0.48042988335220393,0.0,-3.8554142400274,SL,3,85.0
25,SHORT,3438.04,3410.7183726131616,747,755,398.7199844541552,20.0,2.8713239655906992,13.682709056690603,0.47846398134498624,-0.03987199844541552,2.7676567696326186,SL,8,85.0
26,SHORT,3311.88,3289.3736003769595,774,777,399.73135436573926,20.0,3.018354920879153,14.38191726475112,0.47967762523888713,-0.023983881261944357,2.898435514569431,SL,3,85.0
27,SHORT,3121.47,3076.6279138259597,802,812,400.79479304651926,20.0,6.093632684668348,29.687743765079684,0.48095375165582305,-0.04007947930465193,5.989426038476253,SL,10,85.0
28,LONG,2985.45,3047.8904055886323,836,860,403.09437271157856,20.0,8.380319233422705,40.85993661409398,0.4837132472538942,0.10480453690501043,8.130400722341527,SL,24,85.0
29,SHORT,2960.29,2994.656867003318,874,877,406.2497903510644,20.0,-4.716271890632626,-24.418581289885797,0.48749974842127725,0.0,-4.9600217648432645,SL,3,85.0
30,LONG,2989.0,3038.684377484636,902,910,404.16828169544283,20.0,7.86238666011201,38.186500169336085,0.4850019380345314,0.04041682816954428,7.676469250532107,SL,8,100.0
31,SHORT,3031.01,3078.4459323542433,931,934,407.14186900804884,20.0,-6.3718543181467195,-32.5004129674551,0.48857024280965855,0.0,-6.6161394395515485,SL,3,85.0
32,SHORT,3082.28,3121.763911838881,959,963,404.3976991836663,20.0,-5.180322067564968,-26.819938382548557,0.48527723902039954,-0.04043976991836663,-5.382520917156802,SL,4,85.0
33,SHORT,3056.62,3098.4216630171136,988,992,402.14763536899954,20.0,-5.499682635337083,-28.551560231310212,0.4825771624427994,0.0,-5.740971216558483,SL,4,85.0
34,LONG,3150.94,3183.763350219226,1021,1026,399.7547314498876,20.0,3.6120835928250963,17.351498889953227,0.47970567773986506,0.03997547314498876,3.428196416358148,SL,5,85.0
35,LONG,3370.1,3391.509898582526,1065,1070,401.0300688808829,20.0,3.221139328245469,15.344328229723029,0.4812360826570594,0.0,3.076768503448351,SL,5,85.0
36,LONG,3462.82,3488.9724806208214,1099,1101,402.1645290657308,20.0,4.051170681012332,19.426832394311923,0.48259743487887685,0.0,3.906391450548669,SL,2,100.0
37,SHORT,3423.07,3463.899718998857,1127,1134,403.6305661589745,20.0,-4.814427573967378,-25.055614403945615,0.4843566793907693,-0.04036305661589745,-5.016242857046866,SL,7,100.0
38,LONG,3505.62,3470.1200430637628,1174,1211,401.5271976802776,20.0,-4.0660990713134435,-21.45316887525582,0.48183263721633307,0.2007635988401388,-4.507778988761749,SL,37,85.0
39,SHORT,3465.66,3465.66,1211,1212,399.62771955732967,20.0,1.454678163286182,6.5601664754263735,0.47955326346879557,0.0,1.3108121842455434,SL,1,85.0
40,SHORT,3445.94,3485.8174105070166,1240,1243,400.05613377833413,20.0,-4.629564842257424,-24.34457623000779,0.4800673605340009,0.0,-4.8695985225244245,SL,3,85.0
41,SHORT,3181.35,3133.539028842095,1292,1305,398.0122808972176,20.0,6.508903161629409,31.9870468627588,0.477614737076661,-0.06368196494355481,6.429300705449965,SL,13,85.0
