id,direction,entry_price,exit_price,entry_bar,exit_bar,size,leverage,pnl,pnl_pct,commission,funding,net_pnl,exit_reason,duration_bars,confidence
1,LONG,234.3,235.8185,40,42,1000.0,50.0,3.833695571713184,18.44847785856592,1.2,0.0,3.689695571713184,SL,2,85.0
2,LONG,239.813,241.800935,70,82,1003.0896955717133,50.0,4.454736269782445,21.48507442878006,1.2037076346860558,0.0,4.310291353620118,SL,12,85.0
3,LONG,244.215,242.57962145871002,104,106,1006.7981331079902,50.0,-6.741993990113716,-36.482352461764854,1.208157759729588,0.0,-7.34607286997851,SL,2,85.0
4,SHORT,235.907,235.210535,146,149,998.8479813581469,50.0,2.9634441484328913,14.114310143989364,1.198617577629776,0.0,2.8196100391173182,SL,3,85.0
5,LONG,239.351,241.927245,199,204,1001.0682826084493,50.0,4.396098432131981,21.237035841137722,1.201281939130139,0.0,4.2519445994363645,SL,5,85.0
6,LONG,244.273,245.675635,236,239,1004.7195862383203,50.0,2.918828085618986,13.805585673845108,1.2056635034859842,0.0,2.774148465200668,SL,3,85.0
7,SHORT,241.057,242.28667062337485,268,271,1006.890902951778,50.0,-5.136312840129872,-28.505806165654967,1.2082690835421335,0.0,-5.740447381900938,SL,3,85.0
8,LONG,243.796,242.75653905591892,309,313,1000.5463210281059,50.0,0.4822664445589162,1.6900155806048338,1.200655585233727,0.0,0.338187774330869,SL,4,85.0
9,SHORT,241.238,239.93618999999998,339,347,1000.2841810098198,50.0,2.9265568307436887,13.908626975732203,1.2003410172117837,0.0,2.7825159086782745,SL,8,85.0
10,SHORT,238.411,239.5928505790758,387,388,1002.4665264098923,50.0,-4.969425256140121,-27.785990979354676,1.2029598316918706,0.0,-5.570905171986056,SL,1,85.0
11,LONG,238.823,237.88613503867703,443,449,996.2941413220603,50.0,-0.7494963687511551,-4.9614211389248455,1.1955529695864722,0.03985176565288242,-1.028458728321332,SL,6,85.0
12,SHORT,235.222,234.66411,487,489,994.6679061089457,50.0,3.0811061550464056,14.768114857849515,1.1936014873307346,0.0,2.9378739765667174,SL,2,85.0
13,SHORT,224.549,224.161745,519,521,997.0089793418471,50.0,2.625815255039809,11.968463421328373,1.1964107752102162,0.0,2.386533099997766,SL,2,85.0
14,SHORT,223.06,224.8883145187679,555,557,998.7973070542396,50.0,-8.186656584746514,-43.98257237442641,1.1985567684650873,0.0,-8.785934968979058,SL,2,85.0
15,LONG,229.484,227.7612847042585,583,584,989.412093701028,50.0,-7.427425648892322,-40.534540441632586,1.1872945124412335,0.0,-8.021072905112938,SL,1,85.0
16,SHORT,225.949,225.48874500000002,609,612,980.7973735396946,50.0,2.599316965732239,12.051039592160164,1.1769568482476334,0.0,2.363925596082712,SL,3,85.0
17,LONG,224.85,226.63075,643,648,982.5728207116535,50.0,5.86920153442391,29.146496460654138,1.1790873848539845,0.0,5.727711048241432,SL,5,85.0
18,LONG,236.902,237.69549,668,670,987.7109880674678,50.0,4.6947229250685245,23.0456712428304,1.1852531856809616,0.0,4.552492542786809,SL,2,85.0
19,SHORT,236.659,236.34829499999998,692,703,991.6708540174144,50.0,2.365961304125815,10.729166288093143,1.190005024820897,0.0,2.1279602991616358,SL,11,85.0
20,SHORT,230.549,229.43974500000002,732,734,993.2038118041655,50.0,4.41177863871857,21.489835414870814,1.1918445741649986,0.0,4.268757289818769,SL,2,85.0
21,SHORT,226.062,228.0734045142417,761,762,996.8766468069017,50.0,-8.86978876383258,-47.48789522877993,1.196251976168282,0.0,-9.46791475191672,SL,1,85.0
22,LONG,237.791,238.445045,803,806,986.8106060669008,50.0,3.589129147215366,17.46550147895371,1.184172727280281,0.0,3.447028419941732,SL,3,85.0
23,SHORT,239.463,236.581315,831,840,989.6655481232026,50.0,6.5701261053997735,32.47366890086924,1.187598657747843,-0.09896655481232026,6.526580821282352,SL,9,85.0
24,LONG,238.013,239.684935,855,857,995.598329615611,50.0,6.645778146745522,32.65580000416122,1.194717995538733,0.0,6.502411987280874,SL,2,85.0
25,SHORT,238.779,236.493895,882,898,1001.5033826051225,50.0,5.657270796318034,27.523892604747246,1.201804059126147,-0.024036081182522942,5.537090390405419,SL,16,85.0
26,SHORT,231.308,232.8409920062519,910,911,1006.4395709659648,50.0,-6.6701705823681765,-36.13746187446829,1.2077274851591577,0.0,-7.274034324947755,SL,1,85.0
27,LONG,239.792,239.792,937,940,998.5616728984373,50.0,1.4397944393594737,6.009341588188081,1.1982740074781246,0.0,1.2001396378638487,SL,3,85.0
28,SHORT,235.324,236.40860035659824,967,984,999.162675532562,50.0,-0.820209260860578,-5.304483088419008,1.1989952106390744,0.0,-1.0600083029883929,SL,17,85.0
29,LONG,238.292,237.3261523560847,992,998,997.503169624254,50.0,0.4346184321105955,1.4585315843873976,1.1970038035491049,0.0,0.29097797568470285,SL,6,85.0
30,LONG,242.236,240.85163920771902,1021,1023,997.1956456981642,50.0,-5.698899231071544,-31.57462954063336,1.196634774837797,0.0,-6.297216618490443,SL,2,85.0
31,SHORT,239.445,240.67594934998712,1057,1059,990.300111692255,50.0,-5.090978215372055,-28.70421913147337,1.188360134030706,0.0,-5.685158282387408,SL,2,85.0
32,SHORT,236.967,234.483835,1082,1090,984.0207733428521,50.0,3.905989774173527,19.127090020794732,1.1808249280114225,-0.02361649856022845,3.7879072813723846,SL,8,85.0
33,LONG,237.501,236.42889195603297,1113,1115,987.2182681602188,50.0,-4.456421852732307,-25.570600628355976,1.1846619217922625,0.0,-5.048752813628438,SL,2,85.0
