id,direction,entry_price,exit_price,entry_bar,exit_bar,size,leverage,pnl,pnl_pct,commission,funding,net_pnl,exit_reason,duration_bars,confidence
1,LONG,211.103,205.34564545454546,48,61,660.0,33.0,-18.000000000000004,-91.98000000000002,0.7919999999999999,0.066,-18.462000000000003,liquidation,13,70.0
2,LONG,205.337,199.7369,90,112,647.55372,33.0,-17.660555999999993,-91.97999999999996,0.777064464,0.129510744,-18.178598975999993,liquidation,22,70.0
3,LONG,205.045,201.67326194240226,134,136,635.29941340272,33.0,-10.446795630907658,-56.244847180240875,0.7623592960832639,0.0,-10.82797527894929,SL,2,85.0
4,SHORT,217.7,212.76850000000002,177,183,627.9013711509059,33.0,14.223682185717385,72.77401929260408,0.753481645381087,0.0,13.846941363026842,trailing,6,70.0
5,SHORT,222.908,228.9873090909091,217,239,636.7917035075279,33.0,-17.36704645929626,-91.98000000000025,0.7641500442090334,-0.1273583407015056,-17.621763140699272,liquidation,22,70.0
6,LONG,240.84,247.95080000000002,257,289,624.9091703200772,33.0,18.450440658993575,95.45248629795734,0.7498910043840926,0.24996366812803092,17.825531488673498,trailing,32,85.0
7,LONG,245.937,239.2296272727273,297,309,636.4265570711548,33.0,-17.357087920122364,-91.97999999999979,0.7637118684853856,0.06364265570711548,-17.802586510072175,liquidation,12,85.0
8,LONG,235.745,244.41427499999998,340,381,624.424825057907,33.0,22.962567711950914,119.37403720121276,0.7493097900694884,0.3122124125289535,22.275700404387216,trailing,41,70.0
9,SHORT,246.305,253.02240909090912,384,399,638.8795150940795,33.0,-17.423986775293137,-91.98000000000032,0.7666554181128953,-0.06388795150940794,-17.74342653284018,liquidation,15,70.0
10,SHORT,238.539,239.4,422,465,626.9158572944276,33.0,-2.262835650063569,-13.891259793996205,0.7522990287533131,-0.3761495143766566,-2.262835650063569,signal,43,85.0
11,LONG,239.4,235.33683189469363,465,475,625.1741270858973,33.0,-10.610641493058361,-57.988582905225705,0.7502089525030767,0.06251741270858974,-11.04826338201849,SL,10,70.0
12,LONG,219.1,213.12454545454545,507,526,617.634704299439,33.0,-16.84458284453014,-91.97999999999993,0.7411616451593268,0.12352694085988782,-17.338690607969696,liquidation,19,70.0
13,LONG,210.588,204.8446909090909,549,553,605.9465851552765,33.0,-16.525815958780274,-91.98000000000005,0.7271359021863317,0.06059465851552765,-16.949978568388968,liquidation,4,70.0
14,SHORT,199.804,205.25320000000002,593,596,594.5196444524182,33.0,-16.214172121429645,-91.9800000000003,0.7134235733429019,0.0,-16.570883908101095,liquidation,3,70.0
15,SHORT,199.782,204.27909854030062,632,637,583.3474312938683,33.0,-13.131167381244392,-76.26309448795196,0.700016917552642,0.0,-13.481175840020713,SL,5,85.0
