id,direction,entry_price,exit_price,entry_bar,exit_bar,size,leverage,pnl,pnl_pct,commission,funding,net_pnl,exit_reason,duration_bars,confidence
1,LONG,44571.54549505311,46130.68421554968,67,74,600.0,3.0,27.758898362108315,13.753449181054158,0.72,0.18000000000000002,27.326898362108317,SL,7,70.0
2,SHORT,43685.775941996995,47484.337639758895,100,120,601.6180139017265,3.0,-52.311835946897865,-26.265573273131544,0.7219416166820717,-0.5414562125115538,-52.13135054272735,SL,20,70.0
3,SHORT,45526.07483826904,45111.01443462436,142,148,598.4684746206622,3.0,6.8601665800867995,3.3128611285340135,0.7181621695447945,-0.11969369492413244,6.728503515670253,SL,6,55.00000000000001
4,LONG,47199.9283426244,49173.52154004789,157,169,598.8506399665159,3.0,26.498756244888213,13.148807344133356,0.7186207679598191,0.34134486478091414,25.905894111321366,SL,12,95.0
5,SHORT,48257.915889207274,52878.79172840611,196,209,600.3834349901567,3.0,-57.48895819228041,-28.90612142932771,0.720460121988188,-0.36023006099409405,-57.48895819228041,SL,13,0.0
6,LONG,52861.20833771655,55006.275746347455,209,221,596.9124836949603,3.0,34.79469062920286,17.361332689284467,0.7162949804339523,0.3402401157061274,34.203747270344856,SL,12,100.0
7,SHORT,51929.917515044086,49009.54887074389,233,284,598.9432196817681,3.0,41.65877903298096,20.740141061809762,0.7187318636181217,-1.3536116764807962,42.76083455719541,SL,51,30.000000000000004
8,LONG,49629.39111474338,53563.288997015035,306,325,601.4873077992921,3.0,45.08182571039748,22.359175560233428,0.7217847693591505,0.43307086161549035,44.39613017950629,SL,19,15.000000000000002
9,SHORT,51867.90104020525,56312.34326340403,346,372,604.1294220669818,3.0,-51.76647324960933,-25.88631624221895,0.7249553064803781,-0.724955306480378,-51.40399559636914,SL,26,0.0
10,SHORT,57950.42346185703,61931.220481500895,412,418,601.023433672005,3.0,-41.28619172338604,-20.787944421307063,0.7212281204064059,-0.120204686734401,-41.52660109685484,SL,6,0.0
11,LONG,62786.52239825342,71776.3561380539,418,429,598.5102007625816,3.0,72.24334307482307,36.08558485658663,0.7182122409150978,0.227433876289781,71.764534914213,SL,11,70.0
12,SHORT,64979.595964619795,56150.32917447803,442,477,602.7945264902069,3.0,77.08417657329144,38.23740901539877,0.7233534317882482,-0.8439123370862898,77.67491520925185,SL,35,0.0
13,LONG,59514.346924544734,51651.926483411225,478,513,607.4333207998081,3.0,-80.24781258436961,-39.81289953144514,0.7289199849597697,1.032636645359674,-81.64490922220917,SL,35,100.0
14,LONG,42358.22341622003,39151.05116606116,562,568,602.5127586469267,3.0,-45.619528961621754,-22.89463714597695,0.7230153103763121,0.12050255172938536,-46.1015391685393,SL,6,100.0
15,SHORT,38519.50840295534,43683.767789396006,568,617,599.7249758375029,3.0,-80.40433183498531,-40.40060197978369,0.7196699710050035,-1.4393399420100077,-79.32482687847781,SL,49,50.0
16,SHORT,44548.27597498021,40861.57047891268,639,756,594.943896125664,3.0,55.50272518660793,27.861206296953746,0.7139326753507967,-3.4149779637613147,58.66782671399646,SL,117,0.0
17,LONG,42903.981299150415,46215.042260138885,762,777,598.4425477482419,3.0,44.995585605164145,22.430343515915897,0.7181310572978902,0.3470966776939803,44.3971430574159,SL,15,100.0
18,SHORT,46375.642060612336,49152.858281723165,807,821,601.084832399968,3.0,-35.99610641774118,-18.14557048728972,0.7213017988799616,-0.4207593826799776,-35.93599793450119,SL,14,90.0
