id,direction,entry_price,exit_price,entry_bar,exit_bar,size,leverage,pnl,pnl_pct,commission,funding,net_pnl,exit_reason,duration_bars,confidence
1,SHORT,41462.55347307162,42971.04231317229,52,54,600.0,3.0,-21.829174236657416,-11.094587118328707,0.72,0.0,-22.189174236657415,SL,2,68.0
2,LONG,57386.62473922555,55197.88856999216,220,221,598.6470495458005,3.0,-22.832505934960967,-11.622053854078567,0.7183764594549605,0.0,-23.191694164688446,SL,1,80.0
3,LONG,61988.746330446265,59753.8852660515,379,381,597.2339966021357,3.0,-21.531892228048253,-10.995807045756138,0.7166807959225627,0.05972339966021357,-21.94995602566975,SL,2,67.42997571772653
4,LONG,73533.12021122177,70800.84792380848,428,430,595.8954988167179,3.0,-22.141706389371567,-11.327108729637402,0.7150745985800614,0.0,-22.499243688661597,SL,2,68.0
5,SHORT,41272.87692351974,40320.48588727598,537,561,594.5240919574408,3.0,18.236883486926406,9.094427824353954,0.7134289103489289,-0.6896479466706313,18.71250276049236,SL,24,80.0
6,LONG,86575.34808245851,83837.56713139897,920,923,595.6254392557597,3.0,-18.835523248578117,-9.666930211768642,0.7147505271069116,0.05956254392557597,-19.25246105605715,SL,3,80.0
7,LONG,87396.86420196631,84207.23089224315,931,932,594.4488490765831,3.0,-21.694987197247777,-11.128790916635857,0.7133386188918996,0.0,-22.051656506693725,SL,1,65.81786327891967
8,LONG,89475.64346571467,86488.29003172118,968,970,593.1043495276147,3.0,-19.802174610308608,-10.196201007165246,0.7117252194331375,0.0,-20.158037220025175,SL,2,68.0
9,LONG,98027.11658041265,94923.78006867702,1028,1031,591.8735155378304,3.0,-18.73749586004749,-9.677381806155434,0.7102482186453963,0.05918735155378304,-19.151807320923968,SL,3,68.0
10,LONG,109806.02361721186,106338.9146484276,1060,1061,590.7030996520156,3.0,-18.65136307851095,-9.65245566655999,0.7088437195824187,0.0,-19.00578493830216,SL,1,68.0
11,LONG,111359.33952107484,108023.76420468625,1094,1097,589.5414872441299,3.0,-17.658689799128958,-9.16597817857209,0.7074497846929558,0.058954148724413,-18.07136884019985,SL,3,68.0
12,LONG,134827.69825808148,146279.06067225375,1125,1137,588.4359816201771,3.0,38.381768299457846,19.497825833725674,0.7061231779442124,0.27009211556366125,37.97398216419506,SL,12,65.64274222365317
13,LONG,146506.9760015293,141776.38730394514,1146,1148,590.6932368546902,3.0,-19.072994517169192,-9.866751088633741,0.7088318842256282,0.0,-19.427410459282008,SL,2,58.88320990890411
14,LONG,153954.09362167038,147304.8353155181,1171,1176,589.5063272706067,3.0,-25.46070553190967,-13.136962981105818,0.707407592724728,0.11790126545412134,-25.932310593726157,SL,5,68.0
15,LONG,173249.78234635628,167088.97333474754,1421,1424,587.9291664072014,3.0,-20.906919809849214,-10.84808095485895,0.7055149996886416,0.05879291664072014,-21.318470226334252,SL,3,68.0
16,LONG,177839.9691819198,172142.93416675873,1442,1444,586.6288927436307,3.0,-18.792430960482857,-9.790384619444009,0.7039546712923568,0.0,-19.144408296129036,SL,2,68.0
17,LONG,199212.76476496411,192435.56149928534,1459,1462,585.459109605724,3.0,-19.917274850447342,-10.385977423697746,0.7025509315268688,0.058545910960572406,-20.32709622717135,SL,3,68.0
18,LONG,223643.4242488849,215068.8188775839,1501,1505,584.2184073041481,3.0,-22.39923802860501,-11.682156256235768,0.7010620887649777,0.11684368146082962,-22.866612754448326,SL,4,68.0
19,LONG,243466.9088563777,233606.3887293873,1528,1531,582.825378676218,3.0,-23.604691922826373,-12.330135934251944,0.6993904544114615,0.058282537867621796,-24.012669687899727,SL,3,68.0
20,LONG,260661.81015185075,269526.47218305187,1651,1662,581.3636367813117,3.0,19.39359884723958,9.89964286941536,0.697636364137574,0.2674272729194034,18.916880665078907,SL,11,68.0
21,LONG,295670.79111766565,286382.2344884844,1711,1712,582.4777205302926,3.0,-18.298653282355897,-9.604559586088538,0.698973264636351,0.0,-18.648139914674072,SL,1,68.0
22,LONG,307169.88406260876,297313.9720635609,1730,1735,581.337862937473,3.0,-18.652918518725745,-9.80585771954028,0.6976054355249676,0.11626757258749461,-19.117988809075726,SL,5,64.3673593953196
23,LONG,313611.7873854666,303046.8435199517,1749,1750,580.1698554458628,3.0,-19.544743538978057,-10.286390407318478,0.6962038265350353,0.0,-19.892845452245574,SL,1,68.0
24,LONG,332504.92598895467,320364.5597794211,1762,1764,578.955398603932,3.0,-21.138726101975738,-11.133551596348568,0.6947464783247184,0.0,-21.486099341138097,SL,2,68.0
25,LONG,336481.8470745022,324699.8763970221,1772,1775,577.6453902491139,3.0,-20.226354286475676,-10.68455242675073,0.6931744682989366,0.057764539024911396,-20.630706059650056,SL,3,67.04134163159208
26,LONG,374359.3551664197,362028.3192787785,2743,2744,576.386752651486,3.0,-18.98562339639371,-10.061710488169439,0.6916641031817831,0.0,-19.331455447984602,SL,1,68.0
