id,direction,entry_price,exit_price,entry_bar,exit_bar,size,leverage,pnl,pnl_pct,commission,funding,net_pnl,exit_reason,duration_bars,confidence
1,LONG,177.458,179.74998369289955,31,41,200.0,10.0,3.1256222220695618,15.26811111034781,0.24,0.032,3.0216222220695617,trailing,10,66.61000579937182
2,LONG,185.9785,181.51575032176095,47,52,200.58032444441392,10.0,-4.813135810727543,-24.59605157713956,0.24069638933329668,0.020058032444441393,-4.953542037838632,SL,5,64.80517886734722
3,SHORT,147.7001,151.20664402467156,566,577,199.56554639791284,10.0,-4.737880165632374,-24.340972583441513,0.23947865567749538,-0.03991310927958257,-4.817706384191539,SL,11,75.01383723047313
4,SHORT,141.6202,144.65457937731114,636,641,198.57805725550676,10.0,-4.254768470335572,-22.02617633156235,0.2382936687066081,-0.019857805725550678,-4.354057498963326,SL,5,60.908985365141206
5,SHORT,132.5369,137.04635917908138,717,720,197.68341638884348,10.0,-6.726015898869188,-34.624178768941896,0.23722009966661217,0.0,-6.844625948702494,SL,3,60.674136288421984
6,SHORT,126.0308,128.7003067612191,868,871,196.2907691891363,10.0,-4.157710143197531,-21.781383925350873,0.23554892302696356,0.0,-4.275484604711012,SL,3,55.28666085785577
7,LONG,193.3805,190.17421148430128,1700,1708,195.41211737589146,10.0,-3.2399731501919433,-17.180205944750014,0.23449454085106972,0.019541211737589145,-3.376761632355067,SL,8,80.0
8,SHORT,117.5754,126.01927902852114,1868,1876,194.7133155953353,10.0,-13.983670751953808,-72.41671530372116,0.23365597871440233,-0.019471331559533532,-14.081027409751476,SL,8,72.23317893813224
9,LONG,197.001,199.19093881395216,4125,4132,191.8737445155136,10.0,2.838092413582512,14.43145789721659,0.2302484934186163,0.019187374451551362,2.749830491105376,trailing,7,80.0
10,LONG,204.628,200.56928390270937,4144,4145,192.40068576439282,10.0,-3.81619211662966,-20.434607665083046,0.23088082291727136,0.0,-3.9316325280882958,SL,1,68.0
11,LONG,207.125,211.74326968355575,4184,4195,191.59127117648347,10.0,3.979951781655007,20.41313730012727,0.22990952541178017,0.019159127117648347,3.8918197969138246,trailing,11,65.43931564245806
12,LONG,212.978,208.05624100812804,4196,4198,192.34664418332503,10.0,-4.444984108995661,-23.709236596606072,0.23081597301999002,0.0,-4.560392095505656,SL,2,65.48051282051284
13,LONG,222.376,216.4109104892406,4226,4228,191.4114841669219,10.0,-5.13448679912849,-27.42434035489177,0.22969378100030624,0.0,-5.249333689628643,SL,2,68.0
14,LONG,237.96,231.658780599188,4354,4359,190.33864805089615,10.0,-5.0401982762760005,-27.080162215548903,0.22840637766107535,0.0,-5.154401465106538,SL,5,65.57841726618706
15,LONG,247.578,241.36771267751587,4380,4383,189.2849271201087,10.0,-4.748054282817312,-25.68416467733051,0.22714191254413044,0.0,-4.861625239089377,SL,3,68.0
16,LONG,254.107,260.8752856596296,4460,4469,188.28988788103644,10.0,5.162422081306097,27.05741545126295,0.2259478654572437,0.018828988788103643,5.07580873288082,trailing,9,62.98491920416923
17,LONG,286.069,271.9099376580742,5861,5864,189.2824548410669,10.0,-9.368586174410437,-50.095269819259656,0.22713894580928026,0.0,-9.482155647315077,SL,3,64.2104495548151
18,SHORT,97.115,100.94854817616738,7719,7721,187.36330981702295,10.0,-7.396038455745588,-40.074315771687004,0.22483597178042752,-0.018736330981702295,-7.489720110654099,SL,2,80.0
